             pitch        yaw    tick            steamid  name
2042426  -4.840164 -20.475769  204246  76561198386265483  donk
2042436  -4.840164 -20.475769  204247  76561198386265483  donk
2042446  -4.840164 -20.475769  204248  76561198386265483  donk
2042456  -4.840164 -20.475769  204249  76561198386265483  donk
2042466  -4.840164 -20.475769  204250  76561198386265483  donk
2042476  -4.840164 -20.475769  204251  76561198386265483  donk
2042486  -4.840164 -20.475769  204252  76561198386265483  donk
2042496  -4.840164 -20.475769  204253  76561198386265483  donk
2042506  -4.840164 -20.475769  204254  76561198386265483  donk
2042516  -4.840164 -20.475769  204255  76561198386265483  donk
2042526  -4.840164 -20.475769  204256  76561198386265483  donk
2042536  -4.840164 -20.475769  204257  76561198386265483  donk
2042546  -4.840164 -20.475769  204258  76561198386265483  donk
2042556  -4.840164 -20.475769  204259  76561198386265483  donk
2042566  -4.840164 -20.475769  204260  76561198386265483  donk
2042576  -4.840164 -20.475769  204261  76561198386265483  donk
2042586  -4.840164 -20.475769  204262  76561198386265483  donk
2042596  -4.840164 -20.475769  204263  76561198386265483  donk
2042606  -4.840164 -20.475769  204264  76561198386265483  donk
2042616  -4.895096 -20.448303  204265  76561198386265483  donk
2042626  -5.060242 -20.228241  204266  76561198386265483  donk
2042636  -5.335236 -19.678223  204267  76561198386265483  donk
2042646  -5.665161 -18.963089  204268  76561198386265483  donk
2042656  -6.022568 -17.890549  204269  76561198386265483  donk
2042666  -6.187714 -17.175751  204270  76561198386265483  donk
2042676  -6.215179 -16.735611  204271  76561198386265483  donk
2042686  -6.215179 -16.735611  204272  76561198386265483  donk
2042696  -6.215179 -16.735611  204273  76561198386265483  donk
2042706  -6.215179 -16.735611  204274  76561198386265483  donk
2042716  -6.215179 -16.735611  204275  76561198386265483  donk
2042726  -6.215179 -16.735611  204276  76561198386265483  donk
2042736  -6.215179 -16.735611  204277  76561198386265483  donk
2042746  -6.215179 -16.735611  204278  76561198386265483  donk
2042756  -6.215179 -16.735611  204279  76561198386265483  donk
2042766  -6.215179 -16.735611  204280  76561198386265483  donk
2042776  -6.215179 -16.735611  204281  76561198386265483  donk
2042786  -6.215179 -16.735611  204282  76561198386265483  donk
2042796  -6.215179 -16.735611  204283  76561198386265483  donk
2042806  -6.215179 -16.735611  204284  76561198386265483  donk
2042816  -6.215179 -16.735611  204285  76561198386265483  donk
2042826  -6.215179 -16.735611  204286  76561198386265483  donk
2042836  -6.215179 -16.735611  204287  76561198386265483  donk
2042846  -6.215179 -16.653214  204288  76561198386265483  donk
2042856  -6.242645 -16.542999  204289  76561198386265483  donk
2042866  -6.242645 -16.542999  204290  76561198386265483  donk
2042876  -6.270111 -16.542999  204291  76561198386265483  donk
2042886  -6.297577 -16.515533  204292  76561198386265483  donk
2042896  -6.352509 -16.488068  204293  76561198386265483  donk
2042906  -6.379974 -16.488068  204294  76561198386265483  donk
2042916  -6.407440 -16.488068  204295  76561198386265483  donk
2042926  -6.407440 -16.488068  204296  76561198386265483  donk
2042936  -6.435242 -16.488068  204297  76561198386265483  donk
2042946  -6.462708 -16.488068  204298  76561198386265483  donk
2042956  -6.462708 -16.488068  204299  76561198386265483  donk
2042966  -6.462708 -16.460602  204300  76561198386265483  donk
2042976  -6.462708 -16.433136  204301  76561198386265483  donk
2042986  -6.517639 -16.240540  204302  76561198386265483  donk
2042996  -6.572571 -15.993011  204303  76561198386265483  donk
2043006  -6.627502 -15.800751  204304  76561198386265483  donk
2043016  -6.710236 -15.690536  204305  76561198386265483  donk
2043026  -6.765167 -15.663071  204306  76561198386265483  donk
2043036  -6.820099 -15.663071  204307  76561198386265483  donk
2043046  -6.847565 -15.608139  204308  76561198386265483  donk
2043056  -6.902496 -15.470459  204309  76561198386265483  donk
2043066  -6.985245 -15.278198  204310  76561198386265483  donk
2043076  -7.040176 -15.113068  204311  76561198386265483  donk
2043086  -7.095108 -15.003204  204312  76561198386265483  donk
2043096  -7.150040 -14.810608  204313  76561198386265483  donk
2043106  -7.260254 -14.480667  204314  76561198386265483  donk
2043116  -7.342651 -14.067993  204315  76561198386265483  donk
2043126  -7.425049 -13.490524  204316  76561198386265483  donk
2043136  -7.479980 -12.995453  204317  76561198386265483  donk
2043146  -7.562714 -12.363052  204318  76561198386265483  donk
2043156  -7.590179 -11.923248  204319  76561198386265483  donk
2043166  -7.645111 -11.455658  204320  76561198386265483  donk
2043176  -7.727509 -10.850708  204321  76561198386265483  donk
2043186  -7.754974 -10.410583  204322  76561198386265483  donk
2043196  -7.782440  -9.778168  204323  76561198386265483  donk
2043206  -7.782440  -9.392975  204324  76561198386265483  donk
2043216  -7.810242  -9.063034  204325  76561198386265483  donk
2043226  -7.865173  -8.760559  204326  76561198386265483  donk
2043236  -7.920105  -8.513031  204327  76561198386265483  donk
2043246  -7.975037  -8.265503  204328  76561198386265483  donk
2043256  -8.029968  -7.990494  204329  76561198386265483  donk
2043266  -8.085251  -7.715485  204330  76561198386265483  donk
2043276  -8.085251  -7.523224  204331  76561198386265483  donk
2043286  -8.085251  -7.330627  204332  76561198386265483  donk
2043296  -8.112717  -7.055634  204333  76561198386265483  donk
2043306  -8.140182  -6.835556  204334  76561198386265483  donk
2043316  -8.222580  -6.642944  204335  76561198386265483  donk
2043326  -8.277512  -6.450684  204336  76561198386265483  donk
2043336  -8.359909  -6.203156  204337  76561198386265483  donk
2043346  -8.415192  -5.955627  204338  76561198386265483  donk
2043356  -8.442657  -5.817947  204339  76561198386265483  donk
2043366  -8.470123  -5.708084  204340  76561198386265483  donk
2043376  -8.525055  -5.625687  204341  76561198386265483  donk
2043386  -8.579987  -5.625687  204342  76561198386265483  donk
2043396  -8.635254  -5.708084  204343  76561198386265483  donk
2043406  -8.662720  -5.763016  204344  76561198386265483  donk
2043416  -8.690186  -5.845764  204345  76561198386265483  donk
2043426  -8.745117  -6.038025  204346  76561198386265483  donk
2043436  -8.772583  -6.395752  204347  76561198386265483  donk
2043446  -8.800049  -6.698227  204348  76561198386265483  donk
2043456  -8.854980  -7.028168  204349  76561198386265483  donk
2043466  -8.937714  -7.798233  204350  76561198386265483  donk
2043476  -8.992645  -8.238037  204351  76561198386265483  donk
2043486  -9.020111  -8.265503  204352  76561198386265483  donk
2043496  -9.047577  -8.073242  204353  76561198386265483  donk
2043506  -9.047577  -7.880630  204354  76561198386265483  donk
2043516  -9.047577  -7.798233  204355  76561198386265483  donk
2043526  -9.047577  -7.798233  204356  76561198386265483  donk
2043536  -9.047577  -7.798233  204357  76561198386265483  donk
2043546  -9.047577  -7.798233  204358  76561198386265483  donk
2043556  -9.020111  -7.688019  204359  76561198386265483  donk
2043566  -9.020111  -7.633087  204360  76561198386265483  donk
2043576  -8.992645  -7.742950  204361  76561198386265483  donk
2043586  -8.827515  -8.017960  204362  76561198386265483  donk
2043596  -8.745117  -8.265503  204363  76561198386265483  donk
2043606  -8.772583  -8.513031  204364  76561198386265483  donk
2043616  -8.965179  -8.815491  204365  76561198386265483  donk
2043626  -9.185257  -9.008102  204366  76561198386265483  donk
2043636  -9.459915  -9.173248  204367  76561198386265483  donk
2043646  -9.570129  -9.255646  204368  76561198386265483  donk
2043656  -9.625061  -9.283112  204369  76561198386265483  donk
2043666  -9.679993  -9.365509  204370  76561198386265483  donk
2043676  -9.762726  -9.420441  204371  76561198386265483  donk
2043686  -9.900055  -9.558105  204372  76561198386265483  donk
2043696  -9.982452  -9.667969  204373  76561198386265483  donk
2043706 -10.009918  -9.805634  204374  76561198386265483  donk
2043716 -10.009918 -10.025711  204375  76561198386265483  donk
2043726 -10.009918 -10.355652  204376  76561198386265483  donk
2043736 -10.009918 -10.713043  204377  76561198386265483  donk
2043746 -10.009918 -10.933105  204378  76561198386265483  donk
2043756  -9.927521 -11.015503  204379  76561198386265483  donk
2043766  -9.845123 -11.042969  204380  76561198386265483  donk
2043776  -9.762726 -11.042969  204381  76561198386265483  donk
2043786  -9.652527 -11.042969  204382  76561198386265483  donk
2043796  -9.459915 -11.070435  204383  76561198386265483  donk
2043806  -9.075043 -11.098251  204384  76561198386265483  donk
2043816  -8.635254 -11.180649  204385  76561198386265483  donk
2043826  -8.250046 -11.345444  204386  76561198386265483  donk
2043836  -7.865173 -11.620453  204387  76561198386265483  donk
2043846  -7.617645 -11.758118  204388  76561198386265483  donk
2043856  -7.370117 -11.785583  204389  76561198386265483  donk
2043866  -7.150040 -11.758118  204390  76561198386265483  donk
2043876  -6.957428 -11.758118  204391  76561198386265483  donk
2043886  -6.820099 -11.923248  204392  76561198386265483  donk
2043896  -6.765167 -12.060577  204393  76561198386265483  donk
2043906  -6.765167 -12.115509  204394  76561198386265483  donk
2043916  -6.820099 -12.088043  204395  76561198386265483  donk
2043926  -6.902496 -12.060577  204396  76561198386265483  donk
2043936  -6.957428 -12.060577  204397  76561198386265483  donk
2043946  -7.067642 -12.088043  204398  76561198386265483  donk
2043956  -7.204971 -12.225723  204399  76561198386265483  donk
2043966  -7.315186 -12.363052  204400  76561198386265483  donk
2043976  -7.425049 -12.583130  204401  76561198386265483  donk
2043986  -7.479980 -12.692993  204402  76561198386265483  donk
2043996  -7.535248 -12.803192  204403  76561198386265483  donk
2044006  -7.590179 -12.913055  204404  76561198386265483  donk
2044016  -7.645111 -12.995453  204405  76561198386265483  donk
2044026  -7.645111 -13.105652  204406  76561198386265483  donk
2044036  -7.645111 -13.215515  204407  76561198386265483  donk
2044046  -7.645111 -13.353195  204408  76561198386265483  donk
2044056  -7.672577 -13.490524  204409  76561198386265483  donk
2044066  -7.700043 -13.683136  204410  76561198386265483  donk
